rule,width,beta2,seed,layer,h0,final_loss,mean_h_final,ratio_final,t_depart,late_rel_std,cv_h_final,t_1e-02,t_1e-03,t_1e-04,t_1e-06
A,512,0.99,0,W3,0.004,0.0,0.004645150620490313,6.323832056361143e+32,100,1.5157132009229939,19.824600219726562,137,234,328,328
A,512,0.99,0,W4,0.004,0.0,0.006554219871759415,8.922807701141119e+32,100,1.766449496069524,110.47372436523438,137,234,328,328
A,512,0.99,0,W5,0.004,0.0,854.6549072265625,1.1635132078613222e+38,100,1.2712404437836748,4.127213954925537,137,234,328,328
A,512,0.99,1,W1,0.004,0.0,3.9407167434692383,5.364827301285532e+35,100,1.057568466586451,2.574350357055664,134,188,282,358
A,512,0.99,1,W2,0.004,0.0,0.00712857861071825,9.704730291391951e+32,100,1.271091893416307,219.72190856933594,134,188,282,358
A,512,0.99,1,W3,0.004,0.0,0.0004152390465606004,5.652996443451361e+31,100,1.6892390055330087,76.8395004272461,134,188,282,358
A,512,0.99,1,W4,0.004,0.0,0.00032563769491389394,4.433178301629901e+31,100,1.8498318646744887,51.448333740234375,134,188,282,358
A,512,0.99,1,W5,0.004,0.0,84.13780212402344,1.1454382724999943e+37,100,1.9104472513708892,5.572767734527588,134,188,282,358
A,512,0.99,2,W1,0.004,0.0,15.090719223022461,2.054425825400289e+36,100,2.2878822160388137,3.137594699859619,117,215,264,353
A,512,0.99,2,W2,0.004,0.0,0.014031082391738892,1.9101686008398363e+33,100,2.122391190866377,36.69119644165039,117,215,264,353
A,512,0.99,2,W3,0.004,0.0,0.0012086977949365973,1.6455014027653363e+32,300,2.044329768891118,78.05747985839844,117,215,264,353
A,512,0.99,2,W4,0.004,0.0,0.0008600243018008769,1.1708230137872098e+32,300,2.2115030290656006,30.95444107055664,117,215,264,353
A,512,0.99,2,W5,0.004,0.0,223.8078155517578,3.046882984175388e+37,100,2.3107122398660755,2.544161796569824,117,215,264,353
C,32,0.99,0,W1,5.434492379117593e-05,7.96888030675114e-20,0.38330942392349243,3.840882585363657e+36,100,1.0875081167970921,2.5629544258117676,816,1184,1382,1772
C,32,0.99,0,W2,0.000969036656092401,7.96888030675114e-20,0.003159142332151532,1.7752908139686084e+33,100,1.1795598012035198,6.790596961975098,816,1184,1382,1772
C,32,0.99,0,W3,0.000995312068410171,7.96888030675114e-20,0.000587696151342243,3.2153932446006202e+32,100,1.482340246604731,5.61355447769165,816,1184,1382,1772
C,32,0.99,0,W4,0.0010497643765808781,7.96888030675114e-20,0.00043429984361864626,2.2528815600918544e+32,100,1.7249463025134018,6.781424045562744,816,1184,1382,1772
C,32,0.99,0,W5,0.0008390694131083186,7.96888030675114e-20,0.5278398394584656,3.425664243416365e+35,100,1.8566519626522706,1.6415059566497803,816,1184,1382,1772
C,32,0.99,1,W1,5.7634177709394195e-05,2.4873153883775423e-11,1.3616464138031006,1.2865443553133046e+37,100,1.7651343103539985,6.029007434844971,662,1034,1278,1751
C,32,0.99,1,W2,0.0009661374836225625,2.4873153883775423e-11,0.0034112781286239624,1.9227318313583074e+33,100,1.618519201005691,7.070277690887451,662,1034,1278,1751
C,32,0.99,1,W3,0.0010037968585799833,2.4873153883775423e-11,0.0005060916882939637,2.7455154436479144e+32,100,1.1882141461324671,4.725516319274902,662,1034,1278,1751
C,32,0.99,1,W4,0.0009884947590990975,2.4873153883775423e-11,0.0006242900853976607,3.439161616397549e+32,100,1.2135481382826736,7.926129341125488,662,1034,1278,1751
C,32,0.99,1,W5,0.001026720271037722,2.4873153883775423e-11,1.4044833183288574,7.449119940610457e+35,100,1.3116080384714566,1.9608756303787231,662,1034,1278,1751
C,32,0.99,2,W1,7.244212263975125e-05,3.6409559811545478e-09,22.261798858642578,1.6734379193198967e+38,100,1.631565464182964,3.421823263168335,513,895,1115,1593
C,32,0.99,2,W2,0.0009808408140058568,3.6409559811545478e-09,0.1282888948917389,7.122476964780217e+34,100,1.5261322088687892,13.045930862426758,513,895,1115,1593
C,32,0.99,2,W3,0.0009692845125186807,3.6409559811545478e-09,0.008006110787391663,4.4979108192973435e+33,100,1.5208538117819494,8.562671661376953,513,895,1115,1593
C,32,0.99,2,W4,0.001019211124731134,3.6409559811545478e-09,0.003924665506929159,2.0969062369213783e+33,100,1.3493127463020391,14.6590576171875,513,895,1115,1593
C,32,0.99,2,W5,0.0011521033806362686,3.6409559811545478e-09,4.08441686630249,1.9305414395680628e+36,100,2.102551652591825,2.325857400894165,513,895,1115,1593
C,64,0.99,0,W1,5.154908826782765e-05,8.894642107509736e-19,12.116215705871582,1.2799309074338484e+38,100,1.2835899299482787,5.2316575050354,352,628,805,994
C,64,0.99,0,W2,0.002015485004475546,8.894642107509736e-19,0.03355797752737999,9.066856159983568e+33,100,1.5407071833112789,16.28948974609375,352,628,805,994
C,64,0.99,0,W3,0.001992532882481709,8.894642107509736e-19,0.00128889677580446,3.5225174924370525e+32,100,0.8940046420583797,10.55046558380127,352,628,805,994
C,64,0.99,0,W4,0.0019593713850030326,8.894642107509736e-19,0.003622443648055196,1.0067587092751745e+33,100,1.0416630409736742,16.300678253173828,352,628,805,994
C,64,0.99,0,W5,0.0016688953087035843,8.894642107509736e-19,24.0792293548584,7.856950335307462e+36,100,1.1450167262683433,2.146695137023926,352,628,805,994
C,64,0.99,1,W1,5.5897010869565214e-05,2.4521939925685465e-13,1.8900063037872314,1.8412602891895693e+37,100,1.4800430647767726,2.2013368606567383,316,515,750,843
C,64,0.99,1,W2,0.001988080276205908,2.4521939925685465e-13,0.008937090635299683,2.447951245947726e+33,100,1.4136116814961819,12.067510604858398,316,515,750,843
C,64,0.99,1,W3,0.0019794737861300316,2.4521939925685465e-13,0.0005804866668768227,1.5969194572777681e+32,100,1.2747584660114084,6.128125190734863,316,515,750,843
C,64,0.99,1,W4,0.001983902472574986,2.4521939925685465e-13,0.0006282812100835145,1.7245439673556207e+32,100,1.3271980778140262,10.932536125183105,316,515,750,843
C,64,0.99,1,W5,0.00188946493727083,2.4521939925685465e-13,5.564094066619873,1.603600358991452e+36,100,1.3302219946469434,2.0990734100341797,316,515,750,843
C,64,0.99,2,W1,5.966469556291253e-05,5.2172926757651205e-21,0.3664431571960449,3.34448848986704e+36,100,1.9758655616656309,2.7782552242279053,226,502,714,962
C,64,0.99,2,W2,0.0019890562594759324,5.2172926757651205e-21,0.00852037314325571,2.3326633506433678e+33,100,2.2210381505579253,44.37659454345703,226,502,714,962
C,64,0.99,2,W3,0.0019973850983755577,5.2172926757651205e-21,0.00035722911707125604,9.739251100303985e+31,100,2.5227810684243224,5.820973873138428,226,502,714,962
C,64,0.99,2,W4,0.001989288385519009,5.2172926757651205e-21,0.0002839921216946095,7.774081042276375e+31,100,2.5697054135945754,9.666961669921875,226,502,714,962
C,64,0.99,2,W5,0.0018667258541708394,5.2172926757651205e-21,1.123664379119873,3.2779067119451815e+35,100,2.715943748330972,2.853074073791504,226,502,714,962
C,128,0.99,0,W1,5.375179333268693e-05,0.0,5.389463901519775,5.460006094444555e+37,100,0.9520462424605608,2.3818359375,335,417,548,671
C,128,0.99,0,W2,0.003987740551782988,0.0,0.037436556071043015,5.1122197426180495e+33,100,1.0473704212214836,31.08116340637207,335,417,548,671
C,128,0.99,0,W3,0.004022354078703668,0.0,0.004530371632426977,6.133297764651626e+32,200,2.061260732356582,43.620391845703125,335,417,548,671
C,128,0.99,0,W4,0.004004684439011563,0.0,0.008384725078940392,1.1401475162909407e+33,200,2.3018343554241634,75.8413314819336,335,417,548,671
C,128,0.99,0,W5,0.004014190126929353,0.0,116.07868194580078,1.5746899221432146e+37,100,1.628609520284112,2.0224592685699463,335,417,548,671
C,128,0.99,1,W1,5.1812811978846856e-05,3.2434204182601705e-21,12.078680038452148,1.2694711411694124e+38,100,1.2130574922092991,3.7874855995178223,381,513,702,795
C,128,0.99,1,W2,0.003985655459047996,3.2434204182601705e-21,0.11446215212345123,1.563877287535074e+34,100,1.279261928101107,45.954891204833984,381,513,702,795
C,128,0.99,1,W3,0.003985969565703279,3.2434204182601705e-21,0.0015869511989876628,2.168054083605586e+32,200,1.2183246886213464,8.71631145477295,381,513,702,795
C,128,0.99,1,W4,0.003990949033391916,3.2434204182601705e-21,0.0013414788991212845,1.8304091686636253e+32,200,1.2764912313318644,24.668575286865234,381,513,702,795
C,128,0.99,1,W5,0.004550029234841881,3.2434204182601705e-21,40.80333709716797,4.8833968031266186e+36,100,1.4359362509199631,6.112187385559082,381,513,702,795
C,128,0.99,2,W1,5.6419552638998775e-05,8.851265316147635e-38,5.535847187042236,5.34312055806575e+37,100,1.0499536510619518,2.8366575241088867,391,590,708,988
C,128,0.99,2,W2,0.004,8.851265316147635e-38,0.019948139786720276,2.7157071138140913e+33,100,1.4960331984439417,13.325218200683594,391,590,708,988
