rule,width,seed,layer,status,final_loss,wall,h0,sigma0,rho_init,rel_perturb,rel_analytic,mean_h,mean_var,offdiag,cv_h,r_final,h0_frac,h0_env_frac,t_1e-02,t_1e-03,t_1e-04,t_1e-06
A,512,2,W5,ok,0.0,313.0,0.004,0.09117319756073991,3.5576769418830994,4.95038560571915,4.40839945866632,0.009677563793957233,0.02504846826195717,2.3968778597446305,2.4736225605010986,6.1449875831604,2.4193909484893084,102.97164375036488,59,99,104,116
B,32,0,W1,ok,6.126135297830626e-14,19.3,5.2656249999999996e-05,0.7293855804859193,1.8129523506520016,1.3952771470694918,0.2436360606100359,0.00877043791115284,0.09863314032554626,1.2081193782736503,2.946521043777466,514.3007202148438,166.56024519696788,7088.966850150797,397,501,604,1572
B,32,0,W2,ok,6.126135297830626e-14,19.3,0.0009925,0.18234639512147982,1.7679448793232364,2.0082286299588654,0.3386514025717225,0.00057907251175493,0.6571153402328491,0.8375689702423096,4.451195240020752,2.6289844512939453,0.5834483745641613,24.832133148991055,397,501,604,1572
B,32,0,W3,ok,6.126135297830626e-14,19.3,0.0009925,0.18234639512147982,1.791511819733187,1.1214984236541177,0.19531459459208592,0.00041151687037199736,0.6927171349525452,0.9667354692755704,10.695833206176758,4.471095561981201,0.41462656964432987,17.646912106334376,397,501,604,1572
B,32,0,W4,ok,6.126135297830626e-14,19.3,0.0009925,0.18234639512147982,1.839390364794515,0.6917766909506158,0.12784577010489753,0.00018931370868813246,0.7363898754119873,0.8739918769725793,3.069596290588379,0.9986888766288757,0.1907442908696549,8.118263474164964,397,501,604,1572
B,32,0,W5,ok,6.126135297830626e-14,19.3,0.0009925,0.18234639512147982,1.6464207718305128,0.3820661372868889,0.34057798628929814,0.02056012488901615,0.011938195675611496,1.130914506633377,1.9397426843643188,44.191558837890625,20.71549107205658,881.6715496590612,397,501,604,1572
B,32,1,W1,h inflated,0.05360199138522148,21.7,5.2656249999999996e-05,0.7293855804859193,1.8587130424377734,1.4158583691850262,0.24562097604412625,0.35850468277931213,0.10322964191436768,0.7629154434147252,7.647462844848633,52105.19140625,6808.3975364617145,289772.054439219,,,,
B,32,1,W2,h inflated,0.05360199138522148,21.7,0.0009925,0.18234639512147982,1.7653253146229744,1.5230988933155727,0.25737078735990293,0.0029443055391311646,0.3695635199546814,0.9292761671186941,6.857692718505859,20.428659439086914,2.9665546993764886,126.25946784702393,,,,
B,32,1,W3,h inflated,0.05360199138522148,21.7,0.0009925,0.18234639512147982,1.7990561552278819,1.285697683821318,0.2294381618569458,0.0012876513646915555,0.17263273894786835,1.11178195948454,2.4728856086730957,3.2204697132110596,1.2973817276489226,55.21783453439589,,,,
B,32,1,W4,h inflated,0.05360199138522148,21.7,0.0009925,0.18234639512147982,1.7854271119514633,0.7630790729179769,0.13663516452494154,0.004131128080189228,0.19757455587387085,1.3020390316459929,5.93180513381958,24.879961013793945,4.162345672734739,177.15350057267045,,,,
B,32,1,W5,h inflated,0.05360199138522148,21.7,0.0009925,0.18234639512147982,1.8192820257901565,2.522197900741374,3.067698074022965,0.796220064163208,0.002072178991511464,1.1510501233541124,2.8351614475250244,2377.71630859375,802.2368404667084,34143.98412606166,,,,
B,32,2,W1,ok,4.711124611082862e-13,15.5,5.2656249999999996e-05,0.7293855804859193,2.052125001609503,1.431075199147322,0.2565213427633766,0.02678404562175274,0.03124556690454483,0.7764914790088818,3.1410939693450928,1664.5164794921875,508.6584331727523,21649.000135339185,375,508,799,2133
B,32,2,W2,ok,4.711124611082862e-13,15.5,0.0009925,0.18234639512147982,1.7785708802687876,1.6437552879886639,0.2843540563274543,0.0010344774927943945,0.5262315273284912,0.7939571350511037,5.7116570472717285,5.950472831726074,1.0422947030674001,44.36108141768679,375,508,799,2133
B,32,2,W3,ok,4.711124611082862e-13,15.5,0.0009925,0.18234639512147982,1.7681686583834626,1.1127271963368834,0.19302858965579126,0.0003217131597921252,0.4959331750869751,1.0103455813260898,2.557093858718872,1.069172978401184,0.32414424160415645,13.79589577742148,375,508,799,2133
B,32,2,W4,ok,4.711124611082862e-13,15.5,0.0009925,0.18234639512147982,1.8126813801845798,0.7896277921507853,0.13955769958959774,0.0004731947847176343,0.46553778648376465,1.0754196836078203,3.0187485218048096,1.530747890472412,0.47677056394723866,20.29182125034001,375,508,799,2133
B,32,2,W5,ok,4.711124611082862e-13,15.5,0.0009925,0.18234639512147982,1.9261567065914476,6.400436195744453,8.88962807067623,0.0434531643986702,0.005480642430484295,0.946828163227355,1.9087282419204712,92.71178436279297,43.78152584248887,1863.3845368046684,375,508,799,2133
B,64,0,W1,ok,2.5115082539703404e-13,21.4,5.2656249999999996e-05,0.7293855804859193,1.7731278799202035,1.3173392608886432,0.16329684348765208,0.0037321478594094515,0.09031512588262558,1.1953569791033274,2.5618104934692383,193.8936767578125,70.87758546059493,3016.6193208632135,416,486,715,2327
B,64,0,W2,ok,2.5115082539703404e-13,21.4,0.001995,0.12893837251531998,1.79812038111331,1.7479896706539437,0.2176863611429063,0.0003643731470219791,0.5007301568984985,0.7719135980943569,11.918229103088379,2.3249316215515137,0.1826431814646512,7.773472338959781,416,486,715,2327
B,64,0,W3,ok,2.5115082539703404e-13,21.4,0.001995,0.12893837251531998,1.7879035157198844,1.4853285888660879,0.1929301754041344,0.00016662085545249283,0.5177883505821228,0.975508910348516,2.657902717590332,0.9429754614830017,0.08351922579072324,3.5546598906632405,416,486,715,2327
B,64,0,W4,ok,2.5115082539703404e-13,21.4,0.001995,0.12893837251531998,1.7730379998311459,0.9226369678927635,0.11770024799060046,0.00016555270121898502,0.5418261289596558,0.9264805541599492,3.5188775062561035,0.9623761177062988,0.0829838101348296,3.5318720769734053,416,486,715,2327
